category,sublinktext,gpostsnip,sublinks,gpost,related,snippet,topstory,extras,link,extraslink,originallink
EntertainmentÂ Â»,,,"http://www.eni.network24.co/entertainment/exclusive-what-gives-a-kick-to-salman-jacqueline-13853_2,http://www.apunkachoice.com/titles/kic/kick/mid_38129/videos/movid215321/salman_khan_shakes_a_leg_in_the_groovy_kick_song_devil.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Salman+Khan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Kick&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Salman+Khan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Kick&ict=clu_bl","Salman Khan, who chooses festive seasons to release his mega movies, continues the trend with Kick, which is coming out on the Eid weekend.",Salman Khan: Holiday Season Does Matter a Lot for Releases,Seven things you need to know before watching Salman's 'Kick',http://movies.ndtv.com/bollywood/salman-khan-holiday-season-does-matter-a-lot-for-releases-562997,http://www.firstpost.com/bollywood/seven-things-you-need-to-know-before-watching-salmans-kick-1629069.html,http://movies.ndtv.com/bollywood/salman-khan-holiday-season-does-matter-a-lot-for-releases-562997
EntertainmentÂ Â»,,"After humiliating poll defeat, AAP leader Kumar Vishwas gets, Rs 5 crore offer to participate in 'Bigg Boss'Â   More details here: ,http://timesofindia.indiatimes.com/india/After-poll-defeat-AAP-leader-Kumar-Vishwas-turns-into-a-much-in-demand-celebrity/articleshow/38853416.cms","http://www.hindustantimes.com/entertainment/television/kumar-vishwas-offered-bigg-boss-8/article1-1243200.aspx,http://indiatoday.intoday.in/story/kumar-vishwas-to-star-in-bigg-boss-8/1/373544.html","https://plus.google.com/+timesindia/posts/Ko81cYmn9mq,http://timesofindia.indiatimes.com/india/After-poll-defeat-AAP-leader-Kumar-Vishwas-turns-into-a-much-in-demand-celebrity/articleshow/38853416.cms","/news/section?pz=1&cf=all&ned=in&hl=en&q=Kumar+Vishwas&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Aam+Aadmi+Party&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Bigg+Boss&ict=clu_bl","The times are changing, indeed. Arvind Kejriwal, once Delhi's chief minister, office-goer's headache, policeman's nightmare and role model for bathroom singers aching to go public, is now reduced to praying for ""good politics"" at Rajghat.",Bigg Boss woos AAP's Kumar Vishwas: Here's why he'd be perfect,"After poll defeat, AAP leader Kumar Vishwas turns into a much in demand celebrity,Kumar Vishwas",http://www.firstpost.com/politics/bigg-boss-woos-aaps-kumar-vishwas-here-are-4-reasons-why-hed-be-perfect-1628789.html,"http://economictimes.indiatimes.com/news/politics-and-nation/after-poll-defeat-aap-leader-kumar-vishwas-turns-into-a-much-in-demand-celebrity/articleshow/38827507.cms,http://en.wikipedia.org/wiki/Kumar_Vishwas",http://www.firstpost.com/politics/bigg-boss-woos-aaps-kumar-vishwas-here-are-4-reasons-why-hed-be-perfect-1628789.html
EntertainmentÂ Â»,,,"http://www.ptinews.com/news/4947047_I-aim-to-compete-with-Varun--Sidharth--Karan-.html,http://zeenews.india.com/entertainment/idiotbox/i-aim-to-compete-with-varun-sidharth-tv-actor-karan-kundra_158772.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Varun+Dhawan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Varun+Dhawan&ict=clu_bl",Kitani Mohabbat Hai star Karan Kundra is not worried about being compared to other TV actors entering Bollywood and rather aims to compete with Varun Dhawan and Sidharth Malhotra.,"Karan Kundra: I Aim to Compete With Varun Dhawan, Sidharth Malhotra",,http://movies.ndtv.com/bollywood/karan-kundra-i-aim-to-compete-with-varun-dhawan-sidharth-malhotra-563020,,http://movies.ndtv.com/bollywood/karan-kundra-i-aim-to-compete-with-varun-dhawan-sidharth-malhotra-563020
EntertainmentÂ Â»,,,"http://www.firstpost.com/bollywood/amitabh-bachchan-reveals-first-look-film-shamitabh-1629013.html,http://www.indiaglitz.com/-nbsp-nbsp-read-full-story-raquo--telugu-news-110740",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Amitabh+Bachchan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Amitabh+Bachchan&ict=clu_bl","Big B recently took to Twitter to unveil his look in his upcoming movie, R Balki's Shamitabh. The actor can be seen in an intense look sporting a beard amidst Hollywood movie posters and a picture of Woody Allen.",Angry young man is back: Amitabh Bachchan in Shamitabh,,http://www.hindustantimes.com/entertainment/bollywood/first-look--amitabh-bachchan-in-shamitabh/article1-1243227.aspx,,http://www.hindustantimes.com/entertainment/bollywood/first-look--amitabh-bachchan-in-shamitabh/article1-1243227.aspx
EntertainmentÂ Â»,,,"http://businessofcinema.com/bollywood_hollywood_photos/photos-salman-aamir-abhishek-hrithik-play-football-match/161672,http://movies.ndtv.com/bollywood/aamir-to-play-peacemaker-between-salman-and-photographers-562889",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Aamir+Khan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Salman+Khan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Aamir+Khan&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Salman+Khan&ict=clu_bl","On Sunday, July 20, Aamir Khan's daughter Ira organised a celebrity charity match in the city, which saw participation by several big film stars and television actors.",Media ban on Salman Khan: Aamir Khan offers to turn mediator,"Ajay Devgn, Salman Khan, Aamir Khan: Meet Bollywood's khaki brigade",http://www.hindustantimes.com/entertainment/tabloid/media-ban-on-salman-khan-aamir-khan-offers-to-turn-mediator/article1-1243231.aspx,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news-interviews/Ajay-Devgn-Salman-Khan-Aamir-Khan-Meet-Bollywoods-khaki-brigade/articleshow/38802167.cms,http://www.hindustantimes.com/entertainment/tabloid/media-ban-on-salman-khan-aamir-khan-offers-to-turn-mediator/article1-1243231.aspx
SportsÂ Â»,,,"http://www.khelnama.com/140722/others/news/cwg-sindhu-leads-strong-indian-challenge-badminton-glasgow/16105,http://www.mid-day.com/articles/pv-sindhu-can-win-gold-at-commonwealth-games-pullela-gopichand/15464193",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Saina+Nehwal&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Saina+Nehwal&ict=clu_bl","With defending champion Saina Nehwal skipping the 20th Commonwealth Games, India will be pinning their hopes on P.V. Sindhu, Parupalli Kashyap and the pair of Jwala Gutta and Ashwini Ponnappa to repeat their success in badminton that they achievedÂ ...",Hopes high from Indian shuttlers at Commonwealth Games,,http://www.hindustantimes.com/sports-news/commonwealthgames2014glasgow/hopes-high-from-indian-shuttlers-at-commonwealth-games/article1-1243044.aspx,,http://www.hindustantimes.com/sports-news/commonwealthgames2014glasgow/hopes-high-from-indian-shuttlers-at-commonwealth-games/article1-1243044.aspx
SportsÂ Â»,,,"http://sports.ndtv.com/football/news/227246-subrata-paul-syed-rahim-nabi-to-play-for-mumbai-in-indian-super-league,http://www.goal.com/en-india/news/136/india/2014/07/22/4975118/paul-im-looking-forward-to-being-a-part-of-team-mumbai",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Syed+Nabi&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Syed+Nabi&ict=clu_bl","Mumbai, Jul 22 (PTI) Current India custodian Subrata Paul and midfielder Syed Rahim Nabi were the big signings by Mumbai franchise on day one of the two-day inaugural eight-team Hero Indian Super League domestic players draft held here on Tuesday.","Subrata Paul, Nabi to play for Mumbai in ISL",,http://www.ptinews.com/news/4947266_Subrata-Paul--Nabi-to-play-for-Mumbai-in-ISL-.html,,http://www.ptinews.com/news/4947266_Subrata-Paul--Nabi-to-play-for-Mumbai-in-ISL-.html
SportsÂ Â»,,"Outstanding victory by Team India. Congratulations to the team, & specially   + ,Ishant Sharma, Â for wonderful spell. Superb show!",,"https://plus.google.com/+VirenderSehwag/posts/8X1PSqPRVnB,https://plus.google.com/106043361747479052775",,"Great win. Historic win. 28 years in coming. Ishant's crowning glory. India's switchâ€_ all that and moreâ€_ but what was Sourav Ganguly, India's most successful 'away' skipper, most chuffed about as he made it to the ground for the post game show on STARÂ ...",Brutally effective Ishant shows that even India can bounce out oppositions,,http://www.firstpost.com/sports/brutally-effective-ishant-shows-even-india-can-bounce-out-oppositions-1628643.html,,http://www.firstpost.com/sports/brutally-effective-ishant-shows-even-india-can-bounce-out-oppositions-1628643.html
SportsÂ Â»,,"Commonwealth Games 2014 starts tomorrow in Glasgow,Scotland,, UK.   All the best to the Indian athletes.   An estimated 4900 atheletes from 71 countries are participating in 261 events from 23rd July 2,â€_,014 to 3rd August 2014.  You can see the medals' tally of your favorite country here: ,http://www.bbc.com/sport/commonwealth-games/2014/medals/countries,  The official website of Glasgow games for more updated information is: ,http://www.glasgow2014.com,  Â  Â  ,#commonwealthgames, Â  Â  Â  Â  Â  Â  ,#glasgow2014, Â  Â  Â  Â  Â  ,#india, Â ï»¿","https://uk.eurosport.yahoo.com/news/cycling-wiggins-wants-glasgow-gold-propel-towards-rio-082312388--spt.html,http://allafrica.com/stories/201407220540.html","https://plus.google.com/104771037582332553233/posts/UNY3UTERAZ9,http://www.bbc.com/sport/commonwealth-games/2014/medals/countries,http://www.glasgow2014.com,https://plus.google.com/s/%23commonwealthgames,https://plus.google.com/s/%23glasgow2014,https://plus.google.com/s/%23india","/news/section?pz=1&cf=all&ned=in&hl=en&q=Commonwealth+Games&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Glasgow&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=2014+Commonwealth+Games&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Commonwealth+Games&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Glasgow&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=2014+Commonwealth+Games&ict=clu_bl","When Rod Stewart and Susan Boyle finally give their larynxes a welcome rest on Wednesday night in Glasgow and the host team member conferred with the honour proclaims the athletes oath, the favoured Scot will form the 20th link in a chain that stretchesÂ ...",Commonwealth Games continue to celebrate and transcend the past,"Commonwealth Games: is it time to stop playing?,Two Australians to compete at Commonwealth Games despite missing entry , - by ",http://www.telegraph.co.uk/sport/othersports/commonwealthgames/10981499/Commonwealth-Games-continue-to-celebrate-and-transcend-the-past.html,"http://www.theguardian.com/commentisfree/2014/jul/22/commonwealth-games-is-it-time-to-stop-playing,http://www.smh.com.au/commonwealth-games-glasgow-2014/commonwealth-games-news/two-australians-to-compete-at-commonwealth-games-despite-missing-entry-deadline-20140722-zvi8p.html,https://plus.google.com/108959136187762400380/posts",http://www.telegraph.co.uk/sport/othersports/commonwealthgames/10981499/Commonwealth-Games-continue-to-celebrate-and-transcend-the-past.html
ScienceÂ Â»,,,"http://nvonews.com/indias-mars-orbiter-nearing-red-planet-travelled-540-million-kms/,http://www.delhidailynews.com/news/Mangalyaan-nearing-Red-planet-1406020916/",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Indian+Space+Research+Organisation&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Indian+Space+Research+Organisation&ict=clu_bl","Chennai: Inching closer to the red planet, India's ambitious Mars orbiter spacecraft has covered more than 540 million kilometres, about 80 percent of its journey for its rendezvous with the planet scheduled for 24 September.",India's Mars orbiter completes about 80 percent of its journey,,http://www.firstpost.com/india/indias-mars-orbiter-completes-80-percent-journey-1628891.html,,http://www.firstpost.com/india/indias-mars-orbiter-completes-80-percent-journey-1628891.html
ScienceÂ Â»,,,"http://www.ibtimes.co.in/indian-army-team-cycles-700-km-most-dangerous-landscapes-along-teesta-river-604972,http://www.business-standard.com/article/pti-stories/army-men-finish-super-high-altitude-cycling-expedition-114072000286_1.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Indian+Army&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Cycling&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Indian+Army&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Cycling&ict=clu_bl",A 10-member team from the Indian Army has successfully completed a 700-km cycling expedition across the Himalayan Range along the India-China border.,Army team proves their mettle in cycling,"Tracing the course of the Teesta on bicycles, Indian Army seeks inclusion in , - by ",http://www.thehindu.com/news/cities/kolkata/army-team-proves-their-mettle-in-cycling/article6233082.ece,"http://timesofindia.indiatimes.com/india/Tracing-the-course-of-the-Teesta-on-bicycles-Indian-Army-seeks-inclusion-in-records-book/articleshow/38755249.cms,https://plus.google.com/115181942512266019919/posts",http://www.thehindu.com/news/cities/kolkata/army-team-proves-their-mettle-in-cycling/article6233082.ece
HealthÂ Â»,,"This breakthrough is still a few years away from being released, to the public, but what fantastic news! Â This could pave the way for a cure and a vaccine for HIV.    The  HIV-1 virus  has proved to be,â€_, tenacious, inserting its genome permanently into its victims' DNA, forcing patients to take a lifelong drug regimen to control the virus and prevent a fresh attack. Now, a team of Temple University School of Medicine researchers has designed a w...,News & Announcements - Temple Health - Philadelphia, PA","http://www.healthcanal.com/infections/hiv-and-aids/53312-we-need-a-cure-for-hiv-but-there%E2%80%99s-still-a-long-way-to-go.html,http://www.theaustralian.com.au/news/latest-news/melbourne-aids-summit-holds-mh17-vigil/story-fn3dxiwe-1226997909069","https://plus.google.com/+KorinneMJackman/posts/MJbXUEiMLhb,http://www.templehealth.org/content/news.htm?view=34&inCtx5news_id=1035&inCtx4pg=0&news=2","/news/section?pz=1&cf=all&ned=in&hl=en&q=HIV&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=AIDS&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=HIV&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=AIDS&ict=clu_bl",Scientists have designed a way to snip out the integrated HIV-1 genes for the very first time. Researchers from Temple University School of Medicine have revealed how they created molecular tools to delete the HIV-1 proviral DNA.,Scientists snip out HIV virus from cultured human cells for first time,"How Many People Have Been Cured of HIV? One, - by ",http://www.dnaindia.com/health/report-scientists-snip-out-hiv-virus-from-cultured-human-cells-for-first-time-2004291,"http://www.nbcnews.com/health/health-news/how-many-people-have-been-cured-hiv-one-n161546,https://plus.google.com/102127326883769752392/posts",http://www.dnaindia.com/health/report-scientists-snip-out-hiv-virus-from-cultured-human-cells-for-first-time-2004291
HealthÂ Â»,,,"http://www.delhidailynews.com/news/Fatty-food-can-cause-loss-of-smell-1406022339/,http://www.financialexpress.com/news/highfat-diet-may-hurt-sense-of-smell/1272495",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Olfaction&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Olfaction&ict=clu_bl","A new animal study has revealed the link between a bad diet and a loss of smell for the first time. Neuroscientists at the Florida State University found that the high-fat diet was linked to major structural and functional changes in the olfactory system, whichÂ ...",How high-fat diet could inhibit sense of smell revealed,,http://www.business-standard.com/article/news-ani/how-high-fat-diet-could-inhibit-sense-of-smell-revealed-114072200579_1.html,,http://www.business-standard.com/article/news-ani/how-high-fat-diet-could-inhibit-sense-of-smell-revealed-114072200579_1.html
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
