category,sublinktext,gpostsnip,sublinks,gpost,related,snippet,topstory,extras,link,extraslink,originallink
WorldÂ Â»,,,"http://www.voanews.com/content/indonesia-candidate-subianto-seeks-delay-in-results/1962477.html,http://www.bbc.co.uk/news/world-asia-28415764",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Prabowo+Subianto&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Joko+Widodo&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Indonesia&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Prabowo+Subianto&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Joko+Widodo&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Indonesia&ict=clu_bl","JAKARTA, Indonesia - Indonesian presidential candidate Prabowo Subianto said Tuesday he rejected the election process and accused it of being unfair as nearly complete results showed his opponent Jakarta governor Joko Widodo leading with 52Â ...",Former general rejects Indonesian election process,"Mahfud: I no longer represent Prabowo-Hatta,Indonesia's Prabowo withdraws presidential candidacy, party official says,Prabowo Subianto 'withdraws' from Indonesian presidential election on day vote ",http://www.washingtonpost.com/world/asia_pacific/widodo-leads-as-indonesia-set-to-declare-president/2014/07/22/a1a7b2ac-116f-11e4-ac56-773e54a65906_story.html,"http://www.antaranews.com/en/news/94973/mahfud-i-no-longer-represent-prabowo-hatta,http://www.theglobeandmail.com/news/world/indonesias-likely-loser-in-presidential-race-tries-to-delay-result/article19704632/,http://www.smh.com.au/world/prabowo-subianto-withdraws-from-indonesian-presidential-election-on-day-vote-was-to-be-declared-20140722-zvte5.html",http://www.washingtonpost.com/world/asia_pacific/widodo-leads-as-indonesia-set-to-declare-president/2014/07/22/a1a7b2ac-116f-11e4-ac56-773e54a65906_story.html
WorldÂ Â»,,,"http://www.hindustantimes.com/world-news/party-as-britain-s-little-prince-celebrates-first-birthday/article1-1243201.aspx,http://www.dailymail.co.uk/wires/ap/article-2701104/Big-milestone-Britains-little-prince.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Birthdays&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Catherine,+Duchess+of+Cambridge&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Prince+William,+Duke+of+Cambridge&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Birthdays&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Catherine,+Duchess+of+Cambridge&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Prince+William,+Duke+of+Cambridge&ict=clu_bl","If you are viewing on a mobile, take the test here. Happy birthday, George! The Duke and Duchess of Cambridge's son celebrates his first birthday today, having enjoyed a busy and fun-filled first 12 months.",Take the test: how much do you know about Prince George?,"Prince George turns 1: 'Republican slayer' PR gold for Royal Family, - by ,Prince George first birthday: Defining moments of the Republican Slayer's career , - by ",http://www.telegraph.co.uk/news/uknews/prince-george/10959653/Take-the-test-how-much-do-you-know-about-Prince-George.html,"http://www.cbc.ca/news/world/prince-george-turns-1-republican-slayer-pr-gold-for-royal-family-1.2709776,https://plus.google.com/101623570368603114503/posts,http://www.independent.co.uk/news/people/prince-george-first-birthday-defining-moments-of-the-young-winston-churchills-international-career-so-far-9619743.html,https://plus.google.com/103674614858792592266/posts",http://www.telegraph.co.uk/news/uknews/prince-george/10959653/Take-the-test-how-much-do-you-know-about-Prince-George.html
WorldÂ Â»,,,"http://in.rbth.com/news/2014/07/22/uk_and_sweden_may_seek_embargo_on_military_supplies_to_russia_36875.html,http://online.wsj.com/articles/oliver-bullough-putinism-thrives-on-dirty-money-1405984666?mod=WSJ_LatestHeadlines",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Russia&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=European+Union&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Vladimir+Putin&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Russia&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=European+Union&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Vladimir+Putin&ict=clu_bl","EU foreign ministers are meeting in Brussels to discuss a tougher stance on Russia in the wake of the MH17 disaster. The 28-nation bloc has been under pressure to take a harder line on Moscow, but is yet to agree on a united response to broader sanctions.",Brussels to discuss tougher sanctions on Russia,"MH17: Dutch response critical as EU meets over sanctions on Russia,'We must share the burden': Cameron tells EU countries everyone will take a hit ",http://euronews.com/2014/07/22/brussels-to-discuss-tougher-sanctions-on-russia/,"http://voiceofrussia.com/uk/news/2014_07_22/MH17-Dutch-response-critical-as-EU-meets-over-sanctions-on-Russia-7736/,http://www.dailymail.co.uk/news/article-2701158/Cameron-tells-EU-countries-needs-hit-sanctions-against-Russia-banking-energy-defence.html",http://euronews.com/2014/07/22/brussels-to-discuss-tougher-sanctions-on-russia/
BusinessÂ Â»,,,"http://www.dnaindia.com/money/market-report-sensex-hits-fresh-two-week-high-reliance-at-rs-1030-after-posting-good-numbers-2004306,http://www.thehindubusinessline.com/markets/sensex-spurts-320-points-on-sustained-capital-inflows-healthy-corporate-earnings/article6236055.ece",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Reliance+Industries&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Reliance+Industries&ict=clu_bl","NEW DELHI: The S&P BSE Sensex surged over 300 points higher in trade on Tuesday, led by gains in Reliance Industries, HDFC Bank, Bharti Airtel and ITC.",Sensex above 26000 levels; top 20 trading ideas for rallying markets,"Sensex Regains Pre-Budget Levels of 26000, Surges Over 300 Points,Markets extend gains in late trades; Sensex tops 26000",http://economictimes.indiatimes.com/markets/stocks/stocks-in-news/Sensex-above-26000-levels-top-20-trading-ideas-for-rallying-markets/articleshow/38851180.cms,"http://profit.ndtv.com/news/market/article-sensex-regains-pre-budget-levels-of-26-000-surges-over-300-points-592009,http://www.business-standard.com/article/markets/markets-extend-gains-in-late-trades-sensex-tops-26-000-114072200498_1.html",http://economictimes.indiatimes.com/markets/stocks/stocks-in-news/Sensex-above-26000-levels-top-20-trading-ideas-for-rallying-markets/articleshow/38851180.cms
BusinessÂ Â»,,,"http://www.business-standard.com/article/pti-stories/idea-cellular-stock-gains-over-5-post-earnings-114072200372_1.html,http://www.businessinsider.in/Idea-Cellular-Q1-Net-Profit-Rises-Over-57/articleshow/38862114.cms",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Idea+Cellular&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Idea+Cellular&ict=clu_bl","Mumbai: The BSE Sensex rose more than 1 per cent on Tuesday, approaching a record high hit earlier this month after telecom stocks surged following Idea Cellular' better-than-expected earnings while stronger Asian shares also bolstered sentiment.","Sensex Closes Above 26000 in Second Best Closing Ever, Rises 310 Points","Telecom stocks gain on spectrum rules, Idea results",http://profit.ndtv.com/news/market/article-sensex-closes-above-26-000-in-second-best-closing-ever-rises-310-points-592041,http://economictimes.indiatimes.com/markets/stocks/stocks-in-news/telecom-stocks-gain-on-spectrum-rules-idea-results/articleshow/38845535.cms,http://profit.ndtv.com/news/market/article-sensex-closes-above-26-000-in-second-best-closing-ever-rises-310-points-592041
BusinessÂ Â»,,"The ,#rupee, opened strong by 7 paise at 60.23 against the ,#dollar, in early, trade at the Interbank Foreign Exchange market today on fresh selling of the US currency by exporters amid sustained foreign capital inflow,â€_,s.  More on this... ,http://www.thehindubusinessline.com/markets/forex/rupee-rebounds-to-6023-on-fresh-dollar-selling/article6236485.ece","http://www.livemint.com/Money/9HvNtC7VrD0QhKwN2IFPcI/Rupee-trades-higher-at-6022-per-dollar.html,http://www.business-standard.com/article/reuters/rupee-rises-importer-demand-limits-gains-114072200525_1.html","https://plus.google.com/+businessline/posts/C4ygwYM3vh1,http://www.thehindubusinessline.com/markets/forex/rupee-rebounds-to-6023-on-fresh-dollar-selling/article6236485.ece","/news/section?pz=1&cf=all&ned=in&hl=en&q=Trades&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Paisa&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Trades&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Paisa&ict=clu_bl","Bank of America-Merrill Lynch says it met nearly 60 global investors over the past two weeks, and each was overweight on India. That consensus bullishness may be the biggest risk to shares, BofA says, but sticks to its year-end target of 27,000 for the SensexÂ ...",Consensus Bullishness Biggest Risk to Indian Shares: Bank of America,Rupee ends at over 1-month low vs US dollar,http://profit.ndtv.com/news/market/article-consensus-bullishness-biggest-risk-to-indian-shares-bank-of-america-591990,http://www.financialexpress.com/news/rupee-ends-at-over-1month-low-vs-us-dollar/1272152,http://profit.ndtv.com/news/market/article-consensus-bullishness-biggest-risk-to-indian-shares-bank-of-america-591990
TechnologyÂ Â»,,"tarting today, people will be able to see Hindi names for cities,, localities, important roads, as well as popular points of interest such as public parks and schools, on the new Google Maps and on Goo,â€_,gle Maps on Android.,Google India Launches Google Maps In Hindi - NextBigWhat",http://www.ptinews.com/news/4947269_Google-Maps-now-available-in-Hindi.html,"https://plus.google.com/+Nextbigwhat/posts/AkqcB9KajtA,http://www.nextbigwhat.com/google-maps-hindi-297/","/news/section?pz=1&cf=all&ned=in&hl=en&q=Google&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Hindi+Language&ict=clu_bl",Google Maps is now available in Hindi and the feature is available to devices running on Android and on the desktop/PC version of Google Maps.,"Google Maps is now in Hindi for Android, PCs",,http://tech.firstpost.com/news-analysis/google-maps-now-hindi-android-desktops-227748.html,,http://tech.firstpost.com/news-analysis/google-maps-now-hindi-android-desktops-227748.html
TechnologyÂ Â»,,,"http://www.voicendata.com/voice-data/news/217970/bsnl-mtnl-add-300-mobile-sites-telecom-minister,http://www.gizbot.com/news/state-run-bsnl-mtnl-steps-up-to-improve-coverage-quality-across-india-news-018448.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Bharat+Sanchar+Nigam&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Mahanagar+Telephone+Nigam&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Bharat+Sanchar+Nigam&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Mahanagar+Telephone+Nigam&ict=clu_bl","Forgot password? If you signed up using a 3rd party account like Facebook or Twitter, please login with it instead. Email Address.","BSNL, MTNL focus on improving coverage, data speed","BSNL, MTNL jointly adding about 28300 mobile sites: Telecom Minister Ravi ",http://www.digit.in/telecom/bsnl-mtnl-focus-on-improving-coverage-data-speed-23351.html,http://economictimes.indiatimes.com/industry/telecom/bsnl-mtnl-jointly-adding-about-28300-mobile-sites-telecom-minister-ravi-shankar-prasad/articleshow/38805684.cms,http://www.digit.in/telecom/bsnl-mtnl-focus-on-improving-coverage-data-speed-23351.html
TechnologyÂ Â»,,"Why ,#advertisers, must prefer ,#Android, over ,#iOS, for branding related campaigns ?Â Any, idea ,http://www.dazeinfo.com/2014/07/14/apple-inc-aapl-ios-android-mobile-ad-revenue-traffic-q2-2014/, In the Q2 2014, Android accounted for almost half the internet traffic on mobile devices. the ad revenue generated on Android powered,â€_, mobile devices went up to 38.6% from 33.46% in Q1 2014. Android is not eating into the revenue generated by ads on ,#iPhone,, ,#iPad, and iPod, but itâ€™s definitely hurting the revenue share of other platforms.","http://www.computerworld.com/s/article/9249875/Apple_s_new_iPhone_6_could_have_biggest_initial_production,http://timesofindia.indiatimes.com/tech/tech-news/Apple-to-launch-two-big-screen-iPhones-Report/articleshow/38846582.cms","https://plus.google.com/+Dazeinfo/posts/dbftVprdu44,http://www.dazeinfo.com/2014/07/14/apple-inc-aapl-ios-android-mobile-ad-revenue-traffic-q2-2014/,https://plus.google.com/s/%23iPhone,https://plus.google.com/s/%23iPad","/news/section?pz=1&cf=all&ned=in&hl=en&q=iPhone&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Apple+Inc.&ict=clu_bl","APPLE REPORTEDLY has ordered ""70 to 80 million"" iPhone 6 units as it expects the handset to be its best-selling yet, the Wall Street Journal reported on Monday.",Apple expects iPhone 6 to smash sales records with '70 to 80 million' units ordered,"In China, Online Sellers Already Taking iPhone 6 Preorders, - by ,'Apple Inc asks suppliers to produce up to 80 mn large-screen iPhone 6s',A supersize iPhone is a big risk for Apple",http://www.theinquirer.net/inquirer/news/2356494/apple-expects-iphone-6-to-smash-sales-records-with-70-to-80-million-units-ordered,"http://blogs.wsj.com/digits/2014/07/22/in-china-online-sellers-already-taking-iphone-6-preorders/,https://plus.google.com/110697973272384528746/posts,http://www.financialexpress.com/news/apple-inc-asks-suppliers-to-produce-up-to-80-mn-largescreen-iphone-6s/1272407,http://www.marketwatch.com/story/a-supersize-iphone-means-big-risks-for-apple-2014-07-22?link=MW_home_latest_news",http://www.theinquirer.net/inquirer/news/2356494/apple-expects-iphone-6-to-smash-sales-records-with-70-to-80-million-units-ordered
TechnologyÂ Â»,,,"http://www.digit.in/audio-video/micromax-launches-32-inch-led-tv-for-rs-16490-23354.html,http://www.mobiletor.com/113498/micromax-launches-32-inch-led-tv-sold-exclusively-snapdeal/",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Micromax+Mobile&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Micromax+Mobile&ict=clu_bl","Snapdeal.com has exclusively tied up with Micromax. As part of its multi-screen business strategy, Micromax launched its range of LED TV's in October 2012.",Micromax launches 32 inch LED TV exclusively on Snapdeal.com for Rs 16490,,http://www.telecomtiger.com/Technology_fullstory.aspx?storyid=20519&section=S210,,http://www.telecomtiger.com/Technology_fullstory.aspx?storyid=20519&section=S210
